iter	Passed	Remaining
0	210	210554
1	213	106295
2	214	71446
3	217	54068
4	219	43638
5	221	36716
6	223	31699
7	225	27924
8	226	24989
9	228	22594
10	229	20641
11	231	19020
12	232	17644
13	233	16467
14	235	15467
15	236	14559
16	237	13747
17	238	13023
18	239	12385
19	240	11794
20	241	11258
21	242	10771
22	243	10327
23	243	9921
24	244	9551
25	245	9210
26	246	8892
27	247	8599
28	248	8330
29	251	8117
30	252	7890
31	253	7659
32	254	7448
33	255	7245
34	255	7057
35	256	6881
36	257	6714
37	258	6552
38	259	6399
39	260	6256
40	261	6118
41	262	5997
42	265	5909
43	266	5793
44	267	5679
45	268	5570
46	269	5465
47	270	5365
48	271	5267
49	272	5174
50	273	5083
51	274	4997
52	274	4913
53	275	4833
54	277	4760
55	278	4701
56	280	4643
57	281	4574
58	282	4506
59	283	4440
60	284	4376
61	285	4315
62	286	4254
63	286	4195
64	287	4139
65	288	4083
66	289	4030
67	290	3979
68	291	3930
69	292	3881
70	294	3849
71	295	3812
72	296	3767
73	297	3724
74	298	3681
75	299	3640
76	300	3599
77	301	3560
78	302	3523
79	303	3486
80	304	3449
81	305	3415
82	305	3375
83	306	3341
84	307	3309
85	309	3286
86	310	3259
87	311	3227
88	312	3197
89	313	3166
90	313	3136
91	314	3108
92	315	3080
93	316	3054
94	318	3029
95	319	3004
96	320	2979
97	320	2954
98	322	2931
99	324	2918
100	325	2895
101	326	2872
102	327	2849
103	328	2828
104	329	2806
105	330	2783
106	330	2762
107	331	2740
108	332	2719
109	333	2699
110	334	2679
111	335	2659
112	336	2640
113	337	2624
114	339	2614
115	340	2597
116	341	2578
117	342	2560
118	343	2542
119	344	2524
120	345	2507
121	345	2489
122	346	2472
123	347	2455
124	348	2438
125	349	2423
126	350	2406
127	350	2390
128	352	2377
129	354	2369
130	355	2359
131	356	2345
132	357	2330
133	358	2317
134	359	2303
135	360	2289
136	361	2275
137	362	2262
138	363	2252
139	364	2240
140	365	2228
141	367	2218
142	370	2220
143	372	2212
144	373	2200
145	374	2189
146	375	2177
147	376	2166
148	377	2154
149	378	2142
150	378	2130
151	379	2119
152	380	2107
153	381	2096
154	383	2092
155	385	2087
156	386	2077
157	387	2066
158	388	2056
159	389	2045
160	390	2033
161	391	2022
162	391	2011
163	392	2001
164	393	1991
165	394	1980
166	395	1970
